,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
173,34.85464827,595754051,948476053,3804067,277011,53921,3573,23284930,3121424,470142,389910,0.628117124
174,35.05497079,576390157,996046811,3072042,378323,19902,4021,24410772,3148661,737617,162956,0.57867778
175,35.25531677,574556450,1073022920,2737382,389877,20532,3136,13812468,4423505,786395,130395,0.535455897
176,35.45567645,551946386,914983277,2171564,669277,76784,4728,21264828,1088201,1271146,184340,0.603231119
177,35.65603269,579240888,1168392675,3127276,214642,49132,23460,15230499,7517794,594714,181372,0.495758747
178,35.8563718,593057654,1399749291,2240178,326670,29257,15147,15872942,7497617,221547,168712,0.423688483
179,36.05670659,610080676,1726635186,1889695,105428,25112,1440,11345756,143611,239030,38499,0.353335019
180,36.25704506,563115238,1018324412,2809817,565012,18182,6941,15948573,8006539,707463,92957,0.552982165
181,36.45736473,582370676,1144422444,2641904,424377,37333,5606,19006716,6269185,682836,264921,0.508877363
182,36.65770098,575058043,1131850976,2494711,338674,72631,13822,22863349,2421070,681719,440338,0.50806869
183,36.85806124,571077575,1073616727,2526895,368511,63823,11039,26545779,2454285,748823,482643,0.531919409
184,37.05840817,575167767,1120631823,2223565,346616,92276,21588,15043124,11097121,675844,254171,0.513253109
185,37.25874914,588956810,1335171352,1503945,301155,66300,2144,16422494,650286,527694,548490,0.441109532
186,37.45906726,618383836,1803807977,1674924,91373,1878,952,6447686,40336,17856,343,0.342821322
187,37.65939197,615546215,1776537889,1832417,113397,1550,933,8048382,35578,15925,17,0.346486399
188,37.85969447,586638581,1326727806,1611468,258237,59782,1277,16295783,655894,413895,258220,0.442169508
189,38.06005656,563353643,734685288,2561548,467305,31975,3694,21895902,4321286,1059258,278376,0.766795868
190,38.26039179,583301511,602332132,4327533,358211,38279,1875,29433785,146735,693744,145082,0.968405104
191,38.46073184,561389269,837995528,2547290,364813,24950,4344,21069807,6893162,1003172,207151,0.66991917
192,38.66107873,547502970,798609694,2070789,553065,38501,6060,14413808,8823339,1311891,256708,0.685570153
193,38.86136669,511062779,735599810,1960686,440460,21547,4158,14007955,756427,1271752,122626,0.69475654
194,39.06188756,518216561,710495703,2036473,288864,32762,3181,19709295,1949146,945954,126278,0.729373251
195,39.26249683,534875685,805467008,1685854,314457,34863,5438,16221886,2266029,1117473,108559,0.664056603
196,39.46282872,524701963,684653085,2316144,728388,56911,3578,19057020,638702,1779089,390689,0.766376395
197,39.66313786,570382950,1001564600,3374390,266750,40483,29510,10373340,12480431,466766,55978,0.569491923
198,39.86347031,603748850,982952816,6633396,133246,29319,66893,11260115,12040896,126609,89447,0.614219564
199,40.06380265,603534336,1115276097,5470475,153095,34412,67377,12416771,10197379,96466,123305,0.5411524
200,40.26412323,603112554,980315413,6290598,179257,32824,59475,13385735,9975534,97478,106794,0.615222964
201,40.46445637,606945702,1057024675,5605099,253418,29959,24400,19394247,4551221,81586,255437,0.574202019
202,40.66478068,607045879,1029680287,6048728,322407,37484,39776,14734578,7226704,74228,272305,0.589547927
203,40.86506552,599827265,1009218359,5983005,132358,34338,55180,13250126,9104811,101515,144009,0.594348349
204,41.06535569,603598348,972132131,5764619,296029,40314,21862,18472054,4039936,90314,427319,0.620901551
205,41.2656974,587295530,911162515,4881617,309401,37202,25000,14437551,7304459,286216,162754,0.64455629
206,41.46601899,603427956,1016946707,5970266,123648,38999,59911,12790363,12571014,114175,163911,0.59337225
207,41.66632235,606984250,996945269,6551799,117766,38918,57349,12313701,11134881,89988,151536,0.608844105
208,41.86663983,605982490,1017766712,6242442,110413,41255,64267,12135297,12054093,104455,143610,0.595404117
209,42.06695407,602296000,982402340,6353524,107095,39959,69038,11267857,13050991,105551,144898,0.613084859
210,42.26726403,603883806,898966088,6872444,108395,40797,101019,10082086,14539611,101796,152761,0.671753711
211,42.46757673,608083135,1163993568,5097469,122000,42143,62844,17064996,10635052,60054,125290,0.522411078
212,42.66776946,603105958,1286390096,3672010,245334,42804,47051,19247415,9964505,116957,169627,0.468835977
213,42.86805869,603978429,1092746243,5442186,90109,40884,83252,12297194,10873553,76560,140685,0.552716088
214,43.06834735,604716028,1109725911,5626436,100046,39999,72790,12497200,12762988,91801,148833,0.544923771
215,43.26863883,605450669,992438476,6161921,146053,36114,64546,12353243,11638047,118481,121694,0.61006368
216,43.4689316,600233255,1046120833,5003575,190623,56214,31999,17038376,4302275,175284,316689,0.573770482
217,43.66926059,573601198,1041887839,3514532,405338,23724,8751,17159046,3666400,849921,187962,0.550540256
218,43.8695719,560380494,972898159,3055826,505335,42977,5392,19208578,6294134,979546,182671,0.575990908
219,44.06990751,578352435,1034511420,4051486,349928,43989,29820,13664436,7875328,639026,163304,0.559058531
220,44.27022215,602383046,1034144616,5953736,118472,32470,61123,12441681,11431915,119558,112932,0.582494012
221,44.47054011,600079428,937543304,6471387,111148,36120,54474,11784960,10840955,144816,158294,0.640055158
222,44.67085975,585487957,970560151,4926136,168600,30390,41237,13934414,9483786,219949,171932,0.603247471
223,44.87119418,586969136,1019710934,4540833,289835,35217,37572,13110134,7992527,263454,141788,0.575623068
224,45.07148594,604584551,1017270015,6096021,121147,41842,61468,12410740,11212963,123484,159181,0.594320625
225,45.27176026,604253079,999794677,6149796,146857,41592,50546,14998417,8783235,81317,183190,0.604377172
