,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
188,94.61372681,1374442560,1377510612,6717102,313338,11510,1334,198691015,74936,15669778,9521,0.997772756,,,,,,,,
189,95.1144354,1338479095,1302568171,8979047,314152,149206,1280,172048138,69404,13796126,636051,1.027569324,,,,,,,,
190,95.61509726,1299458074,1248827226,10601873,1590350,416396,2086,58759262,61267,13413788,114932,1.040542716,,,,,,,,
191,96.11574055,1341234844,1377671919,11530113,1433334,362002,2069,59167675,67530,10270584,175795,0.973551704,,,,,,,,
192,96.61635311,1354904769,1387433609,11523022,1301978,343446,2314,68915896,59179,8968904,269268,0.976554669,,,,,,,,
193,97.117008,1359029065,1356975283,11331014,1393056,346255,2149,73635816,66556,8634112,323500,1.0015135,,,,,,,,
194,97.61765601,1391629218,1468120294,12078422,1061625,271274,1961,89664069,57649,8931139,547027,0.947898632,,,,,,,,
195,98.11829695,1416108807,1446715796,12234635,974763,292776,2150,97905018,63468,10126010,856580,0.978843814,,,,,,,,
196,98.6189502,1447486765,1323336599,10538029,652259,196842,1902,139938457,56939,16534983,900617,1.093816015,,,,,,,,
197,99.11959168,1338697417,863822176,15841913,9206891,2696,1751,43853541,76259,11157458,1455,1.549737266,,,,,,,,
198,99.61980127,1361375081,897536887,15828890,8670095,2464,1701,45267822,73576,11373135,1514,1.516790118,,,,,,,,
199,100.1204158,1443787045,896430159,12401038,4301608,5593659,1559,57641623,61697,5449848,10416394,1.610596242,,,,,,,,
200,100.621039,1534954718,1514905215,26142547,85525,3055,1152,55303588,62601,1515141,2866,1.013234823,,,,,,,,
201,101.1216657,1531405058,1307145832,27528884,90267,3182,1127,50070588,83951,1536960,2857,1.171564045,,,,,,,,
202,101.6222815,1533903890,1297686841,27963386,83025,2990,1210,49669174,68235,1512536,2764,1.182029317,,,,,,,,
203,102.1229022,1538843990,1278407409,28361337,81549,2888,1425,47440432,75734,1171735,2436,1.203719549,,,,,,,,
204,102.6235197,1538865202,1280977739,28174390,90680,3055,1350,48677842,71143,1425430,2849,1.2013208,,,,,,,,
205,103.1241473,1526559431,1260716684,27295519,105269,3492,1215,52579071,74032,1788026,3150,1.210866367,,,,,,,,
206,103.6247704,1529304118,1269449779,27762026,106761,3508,1166,52508423,60120,1800022,3128,1.2046984,,,,,,,,
207,104.1253926,1524544820,1261259982,27124604,122019,3864,1358,56563243,65206,2246970,3818,1.208747476,,,,,,,,
208,104.6260454,1523057672,1273116427,26581687,119187,3901,1403,56945796,55756,2348908,3796,1.196322378,,,,,,,,
209,105.1266907,1513818298,1259991191,26368937,135695,4417,1480,60750521,66064,2828612,4219,1.201451493,,,,,,,,
210,105.6273191,1528436024,1264966404,27329350,119232,3902,1329,56943419,66616,2210643,3853,1.208281911,,,,,,,,
211,106.1279412,1503125794,1253372535,25129402,157779,5177,1446,68401179,89553,3498543,5096,1.199264985,,,,,,,,
212,106.6285556,1502655764,1277766850,24450855,164694,5487,1476,72890719,71593,4167904,5746,1.176001525,,,,,,,,
213,107.1291825,1499505844,1275620960,23935191,169326,5960,1499,74753476,74953,4172203,5664,1.175510509,,,,,,,,
214,107.6298124,1510863602,1298715709,23679352,167375,6197,1368,77700757,69985,4568022,5853,1.163352065,,,,,,,,
215,108.1304362,1504534304,1285018598,24058315,165454,5897,1487,75964512,70404,4401744,5749,1.170826871,,,,,,,,
216,108.6310785,1496641984,1286773331,23994452,165850,5947,1429,76386431,66982,4409936,5535,1.163096831,,,,,,,,
217,109.1317034,1489155686,1330559415,21455880,191096,7805,1387,95272090,71371,6676435,7532,1.119195182,,,,,,,,
218,109.6323184,1477336413,1327687287,19159578,204787,9062,1427,105110896,68941,8220225,8815,1.112714136,,,,,,,,
219,110.1329441,1462277424,1363743723,15603423,228197,11743,1517,133134186,71175,10401464,10546,1.072252359,,,,,,,,
220,110.6335855,1437475578,1395108778,10009311,244321,14884,1528,167302137,78239,13778335,12521,1.030368098,,,,,,,,
221,111.1342157,1400277862,1483124332,5430996,255963,15529,1365,204886082,63186,16690927,11445,0.944140577,,,,,,,,
